zone_climatique,typologie,etat_isolation_menuiseries,etat_isolation_plancher_bas,etat_isolation_plancher_haut,etat_isolation_murs,scenario_renovation_enveloppe,etat_isolation_menuiseries_apres_scénario_renovation_enveloppe,etat_isolation_plancher_bas_apres_scénario_renovation_enveloppe,etat_isolation_plancher_haut_apres_scénario_renovation_enveloppe,etat_isolation_murs_apres_scénario_renovation_enveloppe,type_CH,type_ECS,CH,ECS,emetteur,scenario_renovation_systeme,usage_CH,usage_ECS,Annexe,CEP,GES,DPE,gain_CEP
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,198,18,D,46%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,210,27,D,43%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,262,17,E,29%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,267,27,E,27%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,S0,,,0,334,16,F,9%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,218,57,E,41%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,265,16,E,28%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,274,16,E,26%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,177,16,C,52%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,188,24,D,49%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,241,15,D,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,246,23,D,33%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,S0,,,0,255,11,E,31%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,161,38,D,56%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,186,11,D,49%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,195,11,D,47%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,127,11,C,66%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,136,16,C,63%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,191,10,D,48%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,FIOUL,FIOUL,COL,COL,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,194,16,D,47%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,S0,,,0,308,89,F,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,242,64,E,21%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,299,90,F,3%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,308,90,F,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,198,18,D,36%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,210,27,D,32%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,202,17,D,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,207,27,D,33%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,S0,,,0,274,78,F,11%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,218,57,E,29%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,265,79,F,14%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,274,79,F,11%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,177,16,C,42%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,188,24,D,39%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,181,15,D,41%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,186,23,D,40%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,S0,,,0,195,53,E,37%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,161,38,D,48%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,186,53,E,40%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,195,53,E,37%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,127,11,C,59%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,136,16,C,56%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,131,10,C,58%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,134,16,C,56%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,S0,,,0,335,90,F,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,242,64,E,28%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,296,89,F,12%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,305,89,F,9%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,198,18,D,41%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,210,27,D,37%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,232,19,D,31%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,238,28,D,29%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,S0,,,0,301,79,F,10%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,218,57,E,35%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,262,78,F,22%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,271,78,F,19%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,177,16,C,47%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,188,24,D,44%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,212,17,D,37%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,216,25,D,35%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,S0,,,0,222,53,E,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,161,38,D,52%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,183,52,E,45%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,192,52,E,43%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,127,11,C,62%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,136,16,C,59%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,161,12,C,52%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,164,17,C,51%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,S0,,,0,310,89,F,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,216,61,E,30%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,299,90,F,4%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,301,90,F,3%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,198,18,D,36%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,201,26,D,35%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,204,17,D,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,207,26,D,33%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,S0,,,0,276,78,F,11%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,193,54,E,38%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,265,79,F,14%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,267,79,F,14%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,177,16,C,43%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,179,23,C,42%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,183,15,D,41%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,GAZ,GAZ,IND,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,186,23,D,40%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,S0,,,0,197,53,E,36%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,139,36,D,55%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,186,53,E,40%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,188,53,E,39%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,127,11,C,59%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,128,16,C,59%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,133,10,C,57%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,GAZ,IND,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,135,15,C,56%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,S0,,,IND / IND,432,38,G,0%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,Chaudière gaz à condensation,OUI,OUI,IND / IND,242,64,E,44%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,ECS seule : PAC Air / Eau,NON,OUI,IND / IND,398,37,F,8%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,ECS seule Hybride : PAC + chaudière,NON,OUI,IND / IND,404,37,F,6%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,CH + ECS : PAC Air / Eau,OUI,OUI,IND / IND,198,18,D,54%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,IND / IND,212,27,D,51%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,CH seul : PAC Air / Eau,OUI,NON,IND / IND,232,19,D,46%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,CH seul Hybride : PAC + Chaudière,OUI,NON,IND / IND,238,28,D,45%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,S0,,,IND / IND,386,34,F,11%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,Chaudière gaz à condensation,OUI,OUI,IND / IND,218,57,E,50%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,ECS seule : PAC Air / Eau,NON,OUI,IND / IND,352,33,F,19%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Isolé,Pas isolé,INTER,Isolé,Isolé,Isolé,Pas isolé,ELEC,ELEC,IND,IND,Electrique,ECS seule Hybride : PAC + chaudière,NON,OUI,IND / IND,358,32,F,17%
